# Smoke-check markers: file|pattern|description
# Run scripts/smoke-check.sh before deploy. Update when adding must-not-remove features.

index.html|date-asc|Unified Date sort dropdown option
index.html|geo-view-toggle|Map/DayPlan mobile view toggles
index.html|setMapView|Map view switcher function
index.html|recalculateMapRoutes|Map recalculate routes button
index.html|getMapDayNotIncludedProps|Map per-day Not Included property list
index.html|onMapParamsChange|Map parameter change recalculates routes
index.html|refreshMapFromStops|Map stops drag updates routes without re-optimize
index.html|syncTabFilters|Cross-tab filter sync
index.html|MULTIDAY_MIN_VISITS|Multi-day minimum visits per day
index.html|sortBasesByDate|Base dropdown date ordering
index.html|syncGeoLayouts|Responsive layout sync
index.html|_mapRefreshGen|Map refresh stale-run guard
index.html|_safeJsonParse|Safe localStorage JSON parse
index.html|getPropRouteDate|Unified route date helper
index.html|fitGeoMapView|Day plan map bounds fit
index.html|getDayProperties|Day plan property filter including transit
index.html|propMatchesMapBase|Map base filter including transit
index.html|isUnassignedProp|Unassigned excluded from All unless filtered
index.html|isTransitBase|Transit base detection for map and endpoints
index.html|addTransitBaseMarkers|Transit base origin/dest map markers
index.html|markPropsRemovedFromIfl|IFL removed-property marking by base grp
index.html|showIflSyncModal|IFL sync result dismiss modal
index.html|map-legend-collapsible|Mobile collapsible map legend
index.html|hh-modules-ready|ES module bootstrap event
index.html|@media(max-width:767px)|Mobile responsive CSS breakpoint
functions/api/[[path]].js|ifl-sync|IFL sync API route
functions/api/[[path]].js|/settings|App settings API (last message template)
index.html|persistLastMsgTemplateIndex|Server-persisted last Msg template on Done
functions/api/[[path]].js|propOnBaseGrp|IFL delete by base group
js/bootstrap.js|__hhModulesReady|Module bootstrap flag
js/config.js|SPA_VERSION|SPA version constant
js/config.js|LS_MXP_AIRPORT_BACKFILL|MXP airport backfill migration key
extension/spa_relay.js|RELAY_IFL_SYNC|SPA content-script IFL relay
extension/background.js|RUN_IFL_SYNC|Background IFL sync job
js/location.js|geocode-town-fallback|Town fallback when street geocode fails
index.html|computeOptScheduledRoute|Optimized w scheduled map route
index.html|computeUnconstrainedOptimizedRoute|Unconstrained optimized map route
index.html|computeFindBaseRoutes|Find Base optimal location and schedule
index.html|propMatchesFindBase|Find Base excludes props on other bases
index.html|FIND_BASE_MAX_PROPS|Find Base property cap (15)
index.html|FIND_BASE_MIN_POPULATION|Find Base town population floor
index.html|_pickTownNearestToIdeal|Find Base snaps to town nearest optimum
index.html|extraDriveMin|Find Base extra drive vs current base
functions/api/[[path]].js|find-base-towns|Find Base towns API (population floor)
index.html|annotateMapRouteStops|Map route implied timing and feasibility
index.html|formatStopTimeMeta|Stop list shows implied times when appointments ignored
index.html|getPropScheduleKind|Proposed/Scheduled stop name styling
index.html|updateMapRouteModeState|Route mode select stays enabled with multi-day selection
.github/workflows/auto-merge-cursor.yml|waitForSettlePeriod|Auto-merge settle period before production merge
index.html|onMapDowntimeToggle|Map Stops downtime toggle
index.html|_mapDowntimeBetweenStops|Map Stops idle gap detection
index.html|printSchedulePdf|Schedule tab A4 PDF print
index.html|schedCalNav|Schedule calendar day navigation
index.html|_buildScheduleCalBlocks|Schedule calendar timed blocks
index.html|buildPropCalendarIcs|Calendar export with address and GEO for mobile
index.html|buildGoogleCalendarUrl|Desktop Google Calendar fallback for +Cal
index.html|getPropCalendarLocationParts|Calendar location prefers GPS over generic addresses
